"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"216","Kaposi sarcoma-associated herpesvirus infection","14/193",0.631560338161093,0.89636231859601,0,0,0.936958638716621,0.43059039327857,"CDKN1A;TRAF2;ATG14;TICAM1;RELA;C3;NFKBIA;PREX1;ZFP36;CLEC2B;MAPKAPK2;UBC;BAK1;MAPK3"
"217","Epithelial cell signaling in Helicobacter pylori infection","5/70",0.634438264460813,0.89636231859601,0,0,0.921824104234528,0.419444066261368,"NFKBIA;TCIRG1;F11R;MAP3K14;RELA"
"218","RIG-I-like receptor signaling pathway","5/70",0.634438264460813,0.89636231859601,0,0,0.921824104234528,0.419444066261368,"NFKBIA;OTUD5;TRAF6;TRAF2;RELA"
"219","Non-homologous end-joining","1/13",0.647238048860215,0.90460098685502,0,0,0.998917045700671,0.434569995352135,"POLM"
"220","Glutathione metabolism","4/57",0.648727229308118,0.90460098685502,0,0,0.904431996855346,0.391386565374351,"GSTM2;GPX1;RRM2;IDH2"
"221","Serotonergic synapse","8/113",0.649080578230388,0.90460098685502,0,0,0.912843466368271,0.394529496993502,"PRKCG;GNAO1;HTR7;MAOA;HTR3A;RAPGEF3;PTGS1;MAPK3"
"222","Porphyrin and chlorophyll metabolism","3/43",0.653562009063261,0.90674368824993,0,0,0.898828887443071,0.382287981424716,"HMOX1;GUSB;UGT1A6"
"223","Linoleic acid metabolism","2/29",0.665407311097503,0.91674621269502,0,0,0.887781149159563,0.361642913819606,"PLAAT3;CYP2E1"
"224","Human cytomegalovirus infection","16/225",0.666724518323651,0.91674621269502,0,0,0.916801667734117,0.371651533029863,"PRKCG;CDKN1A;PXN;TSC1;TRAF2;RELA;GNAO1;NFKBIA;CREB3L3;SP1;CREB3L1;RAC2;PTK2B;BAK1;IL6R;MAPK3"
"225","Inositol phosphate metabolism","5/73",0.671269086845018,0.918892794436736,0,0,0.881011688062847,0.351158218818348,"ISYNA1;PIP5KL1;ITPKA;PLCD3;PI4K2A"
"226","Gap junction","6/88",0.679992008559923,0.923539031975803,0,0,0.8766178013801,0.338088898180366,"PDGFRB;PRKCG;TUBB2A;ADRB1;TUBB4A;MAPK3"
"227","Ascorbate and aldarate metabolism","2/30",0.68365876393014,0.923539031975803,0,0,0.856028237042541,0.325544430296984,"GUSB;UGT1A6"
"228","Glyoxylate and dicarboxylate metabolism","2/30",0.68365876393014,0.923539031975803,0,0,0.856028237042541,0.325544430296984,"CS;ACSS2"
"229","GABAergic synapse","6/89",0.690571087305604,0.928803034454698,0,0,0.866009016509323,0.320628026824931,"PRKCG;GNAO1;GAD1;SLC6A12;HAP1;GABRE"
"230","Carbohydrate digestion and absorption","3/47",0.712291711195218,0.943118148519801,0,0,0.816939729106287,0.277161299484187,"ATP1A1;ATP1B1;HK1"
"231","Other types of O-glycan biosynthesis","3/47",0.712291711195218,0.943118148519801,0,0,0.816939729106287,0.277161299484187,"GALNT11;POFUT2;GALNT3"
"232","Coronavirus disease","16/232",0.713153129448201,0.943118148519801,0,0,0.886750267327695,0.299774009550326,"PRKCG;ACE;VWF;C1S;RPL12;RELA;C3;NFKBIA;RPS28;RPS27;FCGR2A;OAS1;TRAF6;RPL28;IL6R;MAPK3"
"233","Systemic lupus erythematosus","9/135",0.720644341254641,0.943118148519801,0,0,0.855369972940188,0.280227370860821,"H2AC11;C3;H2AX;H2BC12;FCGR2A;C1S;H2BC11;H2BC4;HLA-DQB1"
"234","Cytosolic DNA-sensing pathway","4/63",0.724877714883675,0.943118148519801,0,0,0.812191031073446,0.261324338362169,"NFKBIA;IL18;POLR1D;RELA"
"235","Lysine degradation","4/63",0.724877714883675,0.943118148519801,0,0,0.812191031073446,0.261324338362169,"KMT5C;KMT2C;KMT2B;DHTKD1"
"236","Intestinal immune network for IgA production","3/48",0.725711042854523,0.943118148519801,0,0,0.79874213836478,0.25607941012435,"TGFB1;MAP3K14;HLA-DQB1"
"237","Valine, leucine and isoleucine degradation","3/48",0.725711042854523,0.943118148519801,0,0,0.79874213836478,0.25607941012435,"HIBADH;HMGCS1;BCAT2"
"238","Rheumatoid arthritis","6/93",0.730535743714301,0.945399197747919,0,0,0.826012678145934,0.259349080537214,"IL11;TGFB1;CTSK;IL18;TCIRG1;HLA-DQB1"
"239","Drug metabolism","7/108",0.734810305175718,0.946952192444022,0,0,0.830010398300104,0.255761812221519,"CDA;GSTM2;RRM2;MAOA;CYP2E1;GUSB;UGT1A6"
"240","NOD-like receptor signaling pathway","12/181",0.745829177942066,0.955908715962475,0,0,0.849979863068868,0.249263980312395,"NFKBIA;OAS1;TRAF6;IL18;TRAF2;TICAM1;GBP2;RELA;GBP4;CTSB;GBP3;MAPK3"
"241","Staphylococcus aureus infection","6/95",0.74909684950846,0.955908715962475,0,0,0.807362700145027,0.233236587339013,"C3;FCGR2A;C1S;PTAFR;KRT14;HLA-DQB1"
"242","Cysteine and methionine metabolism","3/50",0.751071133970516,0.955908715962475,0,0,0.76467005357217,0.218890559430787,"AHCY;KYAT1;BCAT2"
"243","Oxytocin signaling pathway","10/154",0.756339862378392,0.958652994290308,0,0,0.831336238198983,0.232162657667298,"PRKCG;GNAO1;CACNG6;CACNB3;CDKN1A;CAMK2A;EEF2;PPP1R12B;ACTG1;MAPK3"
"244","Nicotinate and nicotinamide metabolism","2/35",0.762946583612959,0.960154294679189,0,0,0.726129960200181,0.19646699266012,"QPRT;ASPDH"
"245","Fatty acid biosynthesis","1/18",0.763759098040264,0.960154294679189,0,0,0.704926805030004,0.189979787395446,"FASN"
"246","Alcoholism","12/186",0.777836875023898,0.973877063038051,0,0,0.825329481855931,0.207354498930359,"H2AC11;GNAO1;H2AX;H2BC12;CREB3L3;MAOA;SHC1;CREB3L1;H2BC11;H2BC4;GRIN2D;MAPK3"
"247","Purine metabolism","8/129",0.785311546321484,0.974990289070176,0,0,0.791446388882895,0.191272620548803,"ENTPD2;RRM2;GDA;AK1;ENTPD8;PGM2;ADSS1;PAPSS2"
"248","African trypanosomiasis","2/37",0.789492155939545,0.974990289070176,0,0,0.684562511610626,0.161806878748193,"PRKCG;IL18"
"249","Necroptosis","10/159",0.789881097877991,0.974990289070176,0,0,0.803219721893232,0.189457728082716,"H2AC11;STAT5A;H2AX;STAT5B;GLUD1;SMPD1;CAMK2A;TRAF2;TICAM1;JAK3"
"250","Viral protein interaction with cytokine and cytokine receptor","6/100",0.79138822164787,0.974990289070176,0,0,0.764209825515271,0.178799599837298,"IL22RA1;IL18;ACKR3;IL6R;TNFRSF10D;CCL26"
"251","One carbon pool by folate","1/20",0.798770394437721,0.976050044498119,0,0,0.630655586334257,0.14169679490335,"MTHFR"
"252","Natural killer cell mediated cytotoxicity","8/131",0.799195255487157,0.976050044498119,0,0,0.778492432443907,0.174499069579602,"PRKCG;SHC1;RAET1G;LCK;RAC2;PTK2B;ULBP2;MAPK3"
"253","Primary immunodeficiency","2/38",0.801755393694884,0.976050044498119,0,0,0.665510764340413,0.147045743420313,"LCK;JAK3"
"254","Hedgehog signaling pathway","3/56",0.815952128094079,0.985542178246966,0,0,0.677882667779674,0.137881058247083,"SMURF1;PTCH1;CDON"
"255","Pyrimidine metabolism","3/56",0.815952128094079,0.985542178246966,0,0,0.677882667779674,0.137881058247083,"CDA;RRM2;ENTPD8"
"256","Ferroptosis","2/41",0.83481378286193,0.999995099121677,0,0,0.614217598612917,0.110894895121471,"HMOX1;SAT1"
"257","Mismatch repair","1/23",0.841808315770639,0.999995099121677,0,0,0.544568491936913,0.093776297595155,"POLD4"
"258","Protein export","1/23",0.841808315770639,0.999995099121677,0,0,0.544568491936913,0.093776297595155,"HSPA5"
"259","Platelet activation","7/124",0.85004170029007,0.999995099121677,0,0,0.715880263825469,0.116308974499131,"COL1A1;FCGR2A;VWF;RASGRP2;ACTG1;PTGS1;MAPK3"
"260","Long-term depression","3/60",0.850736932513581,0.999995099121677,0,0,0.630174982022395,0.10186925142903,"PRKCG;GNAO1;MAPK3"
"261","Type I diabetes mellitus","2/43",0.853996732982473,0.999995099121677,0,0,0.584192330869993,0.092201855056414,"GAD1;HLA-DQB1"
"262","Vitamin digestion and absorption","1/24",0.854002972989462,0.999995099121677,0,0,0.520863350001413,0.0822029684712521,"SLC52A3"
"263","Steroid hormone biosynthesis","3/61",0.858484132658178,0.999995099121677,0,0,0.619276243465775,0.0944935546017834,"SULT2B1;CYP2E1;UGT1A6"
"264","Antigen processing and presentation","4/78",0.860379353501685,0.999995099121677,0,0,0.647029842342342,0.0973015629891836,"HSPA5;NFYA;CTSB;HLA-DQB1"
"265","alpha-Linolenic acid metabolism","1/25",0.86525812128508,0.999995099121677,0,0,0.499133636560537,0.0722383186901874,"PLAAT3"
"266","Phosphatidylinositol signaling system","5/97",0.876362218075268,0.999995099121677,0,0,0.650332814049002,0.0858281820560077,"PRKCG;PIP4P1;ITPKA;PLCD3;PI4K2A"
"267","Cytokine-cytokine receptor interaction","18/295",0.876899710108345,0.999995099121677,0,0,0.776325090015513,0.101980120141748,"ACVRL1;IL32;NGFR;IL11;IL1RN;CSF3R;TGFB1;EDA;TNFRSF9;IL18;TNFRSF10D;IL22RA1;THPO;LEPR;ACKR3;RELT;IL6R;CCL26"
"268","Neuroactive ligand-receptor interaction","21/341",0.883570627736551,0.999995099121677,0,0,0.783698156682028,0.097009331476599,"VIPR2;EDN2;THRA;GIPR;CHRNA4;CHRM4;PTAFR;ADM;ADRB1;GRIK2;ADRB2;ADRA2B;GRIN2D;C3;HTR7;P2RY2;LEPR;BDKRB2;CHRNA10;BDKRB1;GABRE"
"269","Peroxisome","4/82",0.885070070972256,0.999995099121677,0,0,0.613715277777778,0.0749275536754607,"MVK;IDH2;ABCD1;CRAT"
"270","Dopaminergic synapse","7/132",0.89030342809097,0.999995099121677,0,0,0.669771689497717,0.0778227443571699,"PRKCG;GNAO1;CREB3L3;MAOA;CREB3L1;CAMK2A;PPP2R5D"
"271","Retrograde endocannabinoid signaling","8/148",0.891086970397997,0.999995099121677,0,0,0.683327116747482,0.0787966681856909,"PRKCG;GNAO1;SLC17A7;NDUFV2;DAGLB;GABRE;MGLL;MAPK3"
"272","Progesterone-mediated oocyte maturation","5/100",0.892071295686301,0.999995099121677,0,0,0.629693125321447,0.0719167617507577,"CCNA1;CDK2;CDC25B;AURKA;MAPK3"
"273","Prion disease","16/273",0.900612399912912,0.999995099121677,0,0,0.743609383457418,0.0778412553564147,"NOTCH1;NCF1;HSPA5;CSNK2A2;LAMC1;COX6B2;SDHA;TUBB4A;GRIN2D;COX6B1;TUBB2A;CREB3L3;CREB3L1;RAC2;NDUFV2;MAPK3"
"274","Fc epsilon RI signaling pathway","3/68",0.903464043143769,0.999995099121677,0,0,0.552374756018217,0.056076514648288,"MAP2K3;RAC2;MAPK3"
"275","Taste transduction","4/86",0.905864031521691,0.999995099121677,0,0,0.583650914634146,0.0577032662196422,"KCNK5;ENTPD2;SCNN1A;HTR3A"
"276","N-Glycan biosynthesis","2/50",0.906159236450764,0.999995099121677,0,0,0.498807975726051,0.0491526530084334,"MGAT5;MGAT3"
"277","Apelin signaling pathway","7/137",0.910526619576052,0.999995099121677,0,0,0.643835616438356,0.0603480927279895,"SMAD3;RRAS;SPHK1;SERPINE1;MEF2D;SLC9A1;MAPK3"
"278","Thermogenesis","13/232",0.913305253547236,0.999995099121677,0,0,0.70910221791617,0.0643050147830359,"MAP2K3;TSC1;CPT1C;COX6B2;SDHA;ACTG1;COX6B1;CREB3L3;CREB3L1;ZNF516;NDUFV2;MGLL;PNPLA2"
"279","RNA transport","10/186",0.914750239247822,0.999995099121677,0,0,0.678995840760547,0.0605013903867895,"EIF4A2;FXR1;PNN;UPF1;UBE2I;EEF1A2;EIF3H;PABPC1;EIF3F;EIF4B"
"280","Asthma","1/31",0.916743708463054,0.999995099121677,0,0,0.39917695473251,0.0346993888384559,"HLA-DQB1"
"281","RNA polymerase","1/31",0.916743708463054,0.999995099121677,0,0,0.39917695473251,0.0346993888384559,"POLR1D"
"282","Morphine addiction","4/91",0.92712142577499,0.999995099121677,0,0,0.549958093869732,0.041615732689235,"PRKCG;GNAO1;GRK5;GABRE"
"283","Base excision repair","1/33",0.929089932927817,0.999995099121677,0,0,0.374187784275504,0.0275214137537577,"POLD4"
"284","Propanoate metabolism","1/34",0.934558880532128,0.999995099121677,0,0,0.36282907043141,0.0245565060726247,"ACSS2"
"285","Amyotrophic lateral sclerosis","21/364",0.937387708745552,0.999995099121677,0,0,0.730219935242036,0.0472147837642577,"MAP2K3;DNAH11;GPX1;HSPA5;TRAF2;WIPI1;ATG14;COX6B2;SDHA;TUBB4A;GRIN2D;ACTG1;COX6B1;PINK1;TUBB2A;ATG2A;MATR3;ANG;HAP1;NDUFV2;PRPH"
"286","Oocyte meiosis","6/129",0.938391376885889,0.999995099121677,0,0,0.583108086621935,0.0370787766372265,"PTTG1;CDK2;CAMK2A;PPP2R5D;AURKA;MAPK3"
"287","Metabolism of xenobiotics by cytochrome P450","3/76",0.938750019759232,0.999995099121677,0,0,0.491626634343722,0.0310737800186773,"GSTM2;CYP2E1;UGT1A6"
"288","DNA replication","1/36",0.944264586773673,0.999995099121677,0,0,0.342058850830781,0.0196166884007736,"POLD4"
"289","mRNA surveillance pathway","4/98",0.949626181188099,0.999995099121677,0,0,0.508809840425532,0.0262987856918199,"PNN;UPF1;PPP2R5D;PABPC1"
"290","Allograft rejection","1/38",0.95253156229723,0.999995099121677,0,0,0.323534060376166,0.0157341201556291,"HLA-DQB1"
"291","Various types of N-glycan biosynthesis","1/39",0.95619342738444,0.999995099121677,0,0,0.31500290687733,0.014110573010172,"B4GALNT3"
"292","Homologous recombination","1/41",0.962691913320601,0.999995099121677,0,0,0.299220272904483,0.0113769060092511,"POLD4"
"293","Graft-versus-host disease","1/42",0.965570368721829,0.999995099121677,0,0,0.291906369356091,0.0102273181296118,"HLA-DQB1"
"294","Fatty acid degradation","1/43",0.968226858960878,0.999995099121677,0,0,0.284940746929051,0.00920041209462048,"CPT1C"
"295","Retinol metabolism","2/68",0.971472377511907,0.999995099121677,0,0,0.362414785041573,0.0104891694006444,"CYP26B1;UGT1A6"
"296","Basal transcription factors","1/45",0.972941050267489,0.999995099121677,0,0,0.271959359678658,0.00746033045871156,"TAF4"
"297","Parkinson disease","12/249",0.973463979447914,0.999995099121677,0,0,0.603850487109815,0.0162402303170029,"PINK1;TUBB2A;UBA7;HSPA5;MAOA;UBC;CAMK2A;COX6B2;SDHA;NDUFV2;TUBB4A;COX6B1"
"298","Nucleotide excision repair","1/47",0.976956125487711,0.999995099121677,0,0,0.260106788710908,0.00606400880813194,"POLD4"
"299","Oxidative phosphorylation","5/133",0.979136434060418,0.999995099121677,0,0,0.466510586319218,0.00983604240364511,"TCIRG1;COX6B2;SDHA;NDUFV2;COX6B1"
"300","Vascular smooth muscle contraction","5/133",0.979136434060418,0.999995099121677,0,0,0.466510586319218,0.00983604240364511,"PRKCG;EDN2;ADM;PPP1R12B;MAPK3"
"301","Ovarian steroidogenesis","1/51",0.983288062155388,0.999995099121677,0,0,0.239246263807667,0.00403205505189963,"LDLR"
"302","Autoimmune thyroid disease","1/53",0.985768388744471,0.999995099121677,0,0,0.230019493177388,0.00329706533235862,"HLA-DQB1"
"303","Fanconi anemia pathway","1/54",0.986866945671311,0.999995099121677,0,0,0.225667242880086,0.00298333346485123,"FANCB"
"304","Spliceosome","5/150",0.991774160656347,0.999995099121677,0,0,0.411434347972593,0.00339838939119737,"XAB2;PRPF3;SRSF4;SF3B1;SMNDC1"
"305","Ribosome","5/158",0.994772722524228,0.999995099121677,0,0,0.389751123033361,0.00204268075960584,"RPS28;RPS27;RPL12;RPL28;MRPL10"
"306","Ribosome biogenesis in eukaryotes","1/108",0.999826641389706,0.999995099121677,0,0,0.111451179003237,1.93226964339501e-05,"CSNK2A2"
"307","Herpes simplex virus 1 infection","18/498",0.999948387162259,0.999995099121677,0,0,0.443002628120894,2.2865212838386e-05,"TRAF2;TSC1;TICAM1;POU2F3;PML;RELA;HCFC1;C3;NFKBIA;OAS1;TRAF6;ZNF317;ZNF823;SRSF4;BAK1;NECTIN2;HLA-DQB1;NECTIN1"
"308","Olfactory transduction","1/440",0.999995099121677,0.999995099121677,0,0,0.0266732383984512,1.30722616185929e-07,"CAMK2A"
